ko;cpd;referenceAG;compoundclass;compoundname;genesymbol;genename;enzyme_activity
K26407;C15233;PSL;Chlorinated;Cadmium chloride;OPG174;Poxviridae/Iridoviridae 3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase;dehydrogenase
K26407;C15233;WFD;Chlorinated;Cadmium chloride;OPG174;Poxviridae/Iridoviridae 3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase;dehydrogenase
K26407;C15233;EPC;Chlorinated;Cadmium chloride;OPG174;Poxviridae/Iridoviridae 3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase;dehydrogenase
K26425;C15233;WFD;Metal;Cadmium chloride;NP419L;Asfivirus DNA ligase;ligase
K26425;C15233;EPC;Metal;Cadmium chloride;NP419L;Asfivirus DNA ligase;ligase
K26425;C15233;PSL;Metal;Cadmium chloride;NP419L;Asfivirus DNA ligase;ligase
K26425;C15233;WFD;Inorganic;Cadmium chloride;NP419L;Asfivirus DNA ligase;ligase
K26425;C15233;EPC;Inorganic;Cadmium chloride;NP419L;Asfivirus DNA ligase;ligase
K26425;C15233;PSL;Inorganic;Cadmium chloride;NP419L;Asfivirus DNA ligase;ligase
K26425;C15233;WFD;Chlorinated;Cadmium chloride;NP419L;Asfivirus DNA ligase;ligase
K26425;C15233;EPC;Chlorinated;Cadmium chloride;NP419L;Asfivirus DNA ligase;ligase
K26425;C15233;PSL;Chlorinated;Cadmium chloride;NP419L;Asfivirus DNA ligase;ligase
K26426;C01553;IARC2B;Polyaromatic;Amsacrine;P1192R;Asfivirus DNA topoisomerase II;topoisomerase
K26426;C01553;IARC2B;Nitrogen-containing;Amsacrine;P1192R;Asfivirus DNA topoisomerase II;topoisomerase
K26426;C01553;IARC2B;Sulfur-containing;Amsacrine;P1192R;Asfivirus DNA topoisomerase II;topoisomerase
K26440;C14321;EPC;Polyaromatic;Benzo[k]fluoranthene;CHIA;Alphabaculovirus/Betabaculovirus chitinase;chitinase
K26440;C14321;IARC2B;Polyaromatic;Benzo[k]fluoranthene;CHIA;Alphabaculovirus/Betabaculovirus chitinase;chitinase
K26440;C14321;EPA;Polyaromatic;Benzo[k]fluoranthene;CHIA;Alphabaculovirus/Betabaculovirus chitinase;chitinase
K26440;C14321;ATSDR;Polyaromatic;Benzo[k]fluoranthene;CHIA;Alphabaculovirus/Betabaculovirus chitinase;chitinase
K26441;C15233;WFD;Metal;Cadmium chloride;lig;DNA ligase;ligase
K26441;C15233;EPC;Metal;Cadmium chloride;lig;DNA ligase;ligase
K26441;C15233;PSL;Metal;Cadmium chloride;lig;DNA ligase;ligase
K26441;C15233;WFD;Inorganic;Cadmium chloride;lig;DNA ligase;ligase
K26441;C15233;EPC;Inorganic;Cadmium chloride;lig;DNA ligase;ligase
K26441;C15233;PSL;Inorganic;Cadmium chloride;lig;DNA ligase;ligase
K26441;C15233;WFD;Chlorinated;Cadmium chloride;lig;DNA ligase;ligase
K26441;C15233;EPC;Chlorinated;Cadmium chloride;lig;DNA ligase;ligase
K26441;C15233;PSL;Chlorinated;Cadmium chloride;lig;DNA ligase;ligase
K26530;C15233;PSL;Metal;Cadmium chloride;A50R;Poxviridae DNA ligase;ligase
K26530;C15233;WFD;Metal;Cadmium chloride;A50R;Poxviridae DNA ligase;ligase
K26530;C15233;EPC;Metal;Cadmium chloride;A50R;Poxviridae DNA ligase;ligase
K26530;C15233;PSL;Inorganic;Cadmium chloride;A50R;Poxviridae DNA ligase;ligase
K26530;C15233;WFD;Inorganic;Cadmium chloride;A50R;Poxviridae DNA ligase;ligase
K26530;C15233;EPC;Inorganic;Cadmium chloride;A50R;Poxviridae DNA ligase;ligase
K26530;C15233;PSL;Chlorinated;Cadmium chloride;A50R;Poxviridae DNA ligase;ligase
K26530;C15233;WFD;Chlorinated;Cadmium chloride;A50R;Poxviridae DNA ligase;ligase
K26530;C15233;EPC;Chlorinated;Cadmium chloride;A50R;Poxviridae DNA ligase;ligase
K27109;C00070;ATSDR;Metal;Copper;ctaF;cytochrome c oxidase subunit IV;oxidase
K27109;C00070;PSL;Metal;Copper;ctaF;cytochrome c oxidase subunit IV;oxidase
K27109;C00070;EPA;Metal;Copper;ctaF;cytochrome c oxidase subunit IV;oxidase
K27109;C19231;IARC2B;Nitrogen-containing;3,3'-Dimethoxybenzidine;ctaF;cytochrome c oxidase subunit IV;oxidase
K27109;C19231;IARC2B;Polyaromatic;3,3'-Dimethoxybenzidine;ctaF;cytochrome c oxidase subunit IV;oxidase
K00001;C00084;IARC2B;Aliphatic;Acetaldehyde;E1.1.1.1;alcohol dehydrogenase;dehydrogenase
K00001;C00084;PSL;Aliphatic;Acetaldehyde;E1.1.1.1;alcohol dehydrogenase;dehydrogenase
K00001;C00084;IARC1;Aliphatic;Acetaldehyde;E1.1.1.1;alcohol dehydrogenase;dehydrogenase
K00001;C00469;IARC1;Aliphatic;Ethanol;E1.1.1.1;alcohol dehydrogenase;dehydrogenase
K00001;C06899;IARC2A;Chlorinated;Chloral hydrate;E1.1.1.1;alcohol dehydrogenase;dehydrogenase
K00001;C06899;IARC2A;Aliphatic;Chloral hydrate;E1.1.1.1;alcohol dehydrogenase;dehydrogenase
K00002;C00084;IARC1;Aliphatic;Acetaldehyde;AKR1A1;alcohol dehydrogenase (NADP+);dehydrogenase
K00002;C00084;PSL;Aliphatic;Acetaldehyde;AKR1A1;alcohol dehydrogenase (NADP+);dehydrogenase
K00002;C00084;IARC2B;Aliphatic;Acetaldehyde;AKR1A1;alcohol dehydrogenase (NADP+);dehydrogenase
K00002;C00469;IARC1;Aliphatic;Ethanol;AKR1A1;alcohol dehydrogenase (NADP+);dehydrogenase
K00037;C01792;IARC2B;Chlorinated;Chlordecone;AKR1C4;3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase;dehydrogenase
K00037;C01792;ATSDR;Chlorinated;Chlordecone;AKR1C4;3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase;dehydrogenase
K00048;C01380;PSL;Aliphatic;Ethylene glycol;fucO;lactaldehyde reductase;reductase
K00055;C00556;PSL;Aromatic;Benzyl alcohol;E1.1.1.90;aryl-alcohol dehydrogenase;dehydrogenase
K00055;C03485;PSL;Aromatic;Aromatic primary alcohol;E1.1.1.90;aryl-alcohol dehydrogenase;dehydrogenase
K00078;C00090;WFD;Aromatic;Catechol;DHDH;dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP);dehydrogenase
K00078;C00090;PSL;Aromatic;Catechol;DHDH;dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP);dehydrogenase
K00078;C00090;IARC2B;Aromatic;Catechol;DHDH;dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP);dehydrogenase
K00078;C00090;ATSDR;Aromatic;Catechol;DHDH;dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP);dehydrogenase
K00078;C00090;EPC;Aromatic;Catechol;DHDH;dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP);dehydrogenase
K00078;C03012;EPC;Polyaromatic;Naphthalene-1,2-diol;DHDH;dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP);dehydrogenase
K00078;C03012;PSL;Polyaromatic;Naphthalene-1,2-diol;DHDH;dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP);dehydrogenase
K00078;C03012;WFD;Polyaromatic;Naphthalene-1,2-diol;DHDH;dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP);dehydrogenase
K00078;C03012;ATSDR;Polyaromatic;Naphthalene-1,2-diol;DHDH;dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP);dehydrogenase
K00078;C16453;IARC1;Nitrogen-containing;4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone;DHDH;dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP);dehydrogenase
K00078;C16453;IARC1;Aliphatic;4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone;DHDH;dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP);dehydrogenase
K00079;C16453;IARC1;Nitrogen-containing;4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone;CBR1;carbonyl reductase 1;reductase
K00079;C16453;IARC1;Aliphatic;4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone;CBR1;carbonyl reductase 1;reductase
K00081;C16453;IARC1;Nitrogen-containing;4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone;CBR2;carbonyl reductase 2;reductase
K00081;C16453;IARC1;Aliphatic;4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone;CBR2;carbonyl reductase 2;reductase
K00084;C16453;IARC1;Nitrogen-containing;4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone;CBR3;carbonyl reductase 3;reductase
K00084;C16453;IARC1;Aliphatic;4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone;CBR3;carbonyl reductase 3;reductase
K00093;C00067;ATSDR;Aliphatic;Formaldehyde;mdh;methanol dehydrogenase;dehydrogenase
K00093;C00067;PSL;Aliphatic;Formaldehyde;mdh;methanol dehydrogenase;dehydrogenase
K00093;C00067;IARC1;Aliphatic;Formaldehyde;mdh;methanol dehydrogenase;dehydrogenase
K00114;C00084;IARC1;Aliphatic;Acetaldehyde;exaA;alcohol dehydrogenase (cytochrome c);dehydrogenase
K00114;C00084;IARC2B;Aliphatic;Acetaldehyde;exaA;alcohol dehydrogenase (cytochrome c);dehydrogenase
K00114;C00084;PSL;Aliphatic;Acetaldehyde;exaA;alcohol dehydrogenase (cytochrome c);dehydrogenase
K00114;C00469;IARC1;Aliphatic;Ethanol;exaA;alcohol dehydrogenase (cytochrome c);dehydrogenase
K00119;C00084;IARC1;Aliphatic;Acetaldehyde;E1.1.99.36;alcohol dehydrogenase (nicotinoprotein);dehydrogenase
K00119;C00084;IARC2B;Aliphatic;Acetaldehyde;E1.1.99.36;alcohol dehydrogenase (nicotinoprotein);dehydrogenase
K00119;C00084;PSL;Aliphatic;Acetaldehyde;E1.1.99.36;alcohol dehydrogenase (nicotinoprotein);dehydrogenase
K00119;C00469;IARC1;Aliphatic;Ethanol;E1.1.99.36;alcohol dehydrogenase (nicotinoprotein);dehydrogenase
K00121;C00084;IARC2B;Aliphatic;Acetaldehyde;frmA;S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase;dehydrogenase
K00121;C00084;IARC1;Aliphatic;Acetaldehyde;frmA;S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase;dehydrogenase
K00121;C00084;PSL;Aliphatic;Acetaldehyde;frmA;S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase;dehydrogenase
K00121;C00469;IARC1;Aliphatic;Ethanol;frmA;S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase;dehydrogenase
K00121;C06899;IARC2A;Chlorinated;Chloral hydrate;frmA;S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase;dehydrogenase
K00121;C06899;IARC2A;Aliphatic;Chloral hydrate;frmA;S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase;dehydrogenase
K00128;C00084;IARC1;Aliphatic;Acetaldehyde;ALDH;aldehyde dehydrogenase (NAD+);dehydrogenase
K00128;C00084;IARC2B;Aliphatic;Acetaldehyde;ALDH;aldehyde dehydrogenase (NAD+);dehydrogenase
K00128;C00084;PSL;Aliphatic;Acetaldehyde;ALDH;aldehyde dehydrogenase (NAD+);dehydrogenase
K00129;C00084;IARC1;Aliphatic;Acetaldehyde;ALDH3;aldehyde dehydrogenase (NAD(P)+);dehydrogenase
K00129;C00084;IARC2B;Aliphatic;Acetaldehyde;ALDH3;aldehyde dehydrogenase (NAD(P)+);dehydrogenase
K00129;C00084;PSL;Aliphatic;Acetaldehyde;ALDH3;aldehyde dehydrogenase (NAD(P)+);dehydrogenase
K00129;C06899;IARC2A;Chlorinated;Chloral hydrate;ALDH3;aldehyde dehydrogenase (NAD(P)+);dehydrogenase
K00129;C06899;IARC2A;Aliphatic;Chloral hydrate;ALDH3;aldehyde dehydrogenase (NAD(P)+);dehydrogenase
K00129;C11150;IARC2B;Chlorinated;Trichloroacetate;ALDH3;aldehyde dehydrogenase (NAD(P)+);dehydrogenase
K00129;C11150;IARC2B;Aliphatic;Trichloroacetate;ALDH3;aldehyde dehydrogenase (NAD(P)+);dehydrogenase
K00132;C00084;IARC1;Aliphatic;Acetaldehyde;E1.2.1.10;acetaldehyde dehydrogenase (acetylating);dehydrogenase
K00132;C00084;PSL;Aliphatic;Acetaldehyde;E1.2.1.10;acetaldehyde dehydrogenase (acetylating);dehydrogenase
K00132;C00084;IARC2B;Aliphatic;Acetaldehyde;E1.2.1.10;acetaldehyde dehydrogenase (acetylating);dehydrogenase
K00138;C00084;IARC1;Aliphatic;Acetaldehyde;aldB;aldehyde dehydrogenase;dehydrogenase
K00138;C00084;IARC2B;Aliphatic;Acetaldehyde;aldB;aldehyde dehydrogenase;dehydrogenase
K00138;C00084;PSL;Aliphatic;Acetaldehyde;aldB;aldehyde dehydrogenase;dehydrogenase
K00141;C00587;EPC;Aromatic;3-Hydroxybenzoate;xylC;benzaldehyde dehydrogenase (NAD);dehydrogenase
K00141;C00587;WFD;Aromatic;3-Hydroxybenzoate;xylC;benzaldehyde dehydrogenase (NAD);dehydrogenase
K00141;C00587;PSL;Aromatic;3-Hydroxybenzoate;xylC;benzaldehyde dehydrogenase (NAD);dehydrogenase
K00141;C00587;ATSDR;Aromatic;3-Hydroxybenzoate;xylC;benzaldehyde dehydrogenase (NAD);dehydrogenase
K00148;C00067;ATSDR;Aliphatic;Formaldehyde;fdhA;glutathione-independent formaldehyde dehydrogenase;dehydrogenase
K00148;C00067;PSL;Aliphatic;Formaldehyde;fdhA;glutathione-independent formaldehyde dehydrogenase;dehydrogenase
K00148;C00067;IARC1;Aliphatic;Formaldehyde;fdhA;glutathione-independent formaldehyde dehydrogenase;dehydrogenase
K00149;C00084;IARC2B;Aliphatic;Acetaldehyde;ALDH9A1;aldehyde dehydrogenase family 9 member A1;dehydrogenase
K00149;C00084;PSL;Aliphatic;Acetaldehyde;ALDH9A1;aldehyde dehydrogenase family 9 member A1;dehydrogenase
K00149;C00084;IARC1;Aliphatic;Acetaldehyde;ALDH9A1;aldehyde dehydrogenase family 9 member A1;dehydrogenase
K00152;C00805;PSL;Aromatic;Salicylate;nahF;salicylaldehyde dehydrogenase;dehydrogenase
K00152;C00805;ATSDR;Aromatic;Salicylate;nahF;salicylaldehyde dehydrogenase;dehydrogenase
K00152;C00805;EPC;Aromatic;Salicylate;nahF;salicylaldehyde dehydrogenase;dehydrogenase
K00152;C00805;WFD;Aromatic;Salicylate;nahF;salicylaldehyde dehydrogenase;dehydrogenase
K00192;C00237;ATSDR;Inorganic;CO;cdhA;anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha;dehydrogenase
K00193;C00237;ATSDR;Inorganic;CO;cdhC;acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta;decarbonylase
K00194;C00237;ATSDR;Inorganic;CO;cdhD;acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta;decarbonylase
K00195;C00237;ATSDR;Inorganic;CO;cdhB;anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon;dehydrogenase
K00196;C00237;ATSDR;Inorganic;CO;cooF;anaerobic carbon-monoxide dehydrogenase iron sulfur subunit;dehydrogenase
K00197;C00237;ATSDR;Inorganic;CO;cdhE;acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma;decarbonylase
K00198;C00237;ATSDR;Inorganic;CO;cooS;anaerobic carbon-monoxide dehydrogenase catalytic subunit;dehydrogenase
K00212;C00090;ATSDR;Aromatic;Catechol;AKR1C1;20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase;dehydrogenase
K00212;C00090;PSL;Aromatic;Catechol;AKR1C1;20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase;dehydrogenase
K00212;C00090;EPC;Aromatic;Catechol;AKR1C1;20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase;dehydrogenase
K00212;C00090;IARC2B;Aromatic;Catechol;AKR1C1;20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase;dehydrogenase
K00212;C00090;WFD;Aromatic;Catechol;AKR1C1;20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase;dehydrogenase
K00212;C03012;EPC;Polyaromatic;Naphthalene-1,2-diol;AKR1C1;20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase;dehydrogenase
K00212;C03012;WFD;Polyaromatic;Naphthalene-1,2-diol;AKR1C1;20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase;dehydrogenase
K00212;C03012;ATSDR;Polyaromatic;Naphthalene-1,2-diol;AKR1C1;20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase;dehydrogenase
K00212;C03012;PSL;Polyaromatic;Naphthalene-1,2-diol;AKR1C1;20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase;dehydrogenase
K00212;C16453;IARC1;Nitrogen-containing;4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone;AKR1C1;20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase;dehydrogenase
K00212;C16453;IARC1;Aliphatic;4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone;AKR1C1;20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase;dehydrogenase
K00217;C01324;ATSDR;Inorganic;Bromide;E1.3.1.32;maleylacetate reductase;reductase
K00221;C00703;WFD;Metal;Mercury(2+);E4.99.1.2;alkylmercury lyase;lyase
K00221;C00703;EPC;Metal;Mercury(2+);E4.99.1.2;alkylmercury lyase;lyase
K00221;C01438;ATSDR;Aliphatic;Methane;E4.99.1.2;alkylmercury lyase;lyase
K00221;C18672;ATSDR;Metal;Methylmercury;E4.99.1.2;alkylmercury lyase;lyase
K00221;C18672;WFD;Metal;Methylmercury;E4.99.1.2;alkylmercury lyase;lyase
K00221;C18672;IARC2B;Metal;Methylmercury;E4.99.1.2;alkylmercury lyase;lyase
K00221;C18672;EPC;Metal;Methylmercury;E4.99.1.2;alkylmercury lyase;lyase
K00221;C18672;ATSDR;Organometallic;Methylmercury;E4.99.1.2;alkylmercury lyase;lyase
K00221;C18672;WFD;Organometallic;Methylmercury;E4.99.1.2;alkylmercury lyase;lyase
K00221;C18672;IARC2B;Organometallic;Methylmercury;E4.99.1.2;alkylmercury lyase;lyase
K00221;C18672;EPC;Organometallic;Methylmercury;E4.99.1.2;alkylmercury lyase;lyase
K00259;C00014;PSL;Nitrogen-containing;Ammonia;ald;alanine dehydrogenase;dehydrogenase
K00259;C00014;ATSDR;Nitrogen-containing;Ammonia;ald;alanine dehydrogenase;dehydrogenase
K00260;C00014;PSL;Nitrogen-containing;Ammonia;gudB;glutamate dehydrogenase;dehydrogenase
K00260;C00014;ATSDR;Nitrogen-containing;Ammonia;gudB;glutamate dehydrogenase;dehydrogenase
K00261;C00014;PSL;Nitrogen-containing;Ammonia;GLUD1_2;glutamate dehydrogenase (NAD(P)+);dehydrogenase
K00261;C00014;ATSDR;Nitrogen-containing;Ammonia;GLUD1_2;glutamate dehydrogenase (NAD(P)+);dehydrogenase
K00262;C00014;PSL;Nitrogen-containing;Ammonia;E1.4.1.4;glutamate dehydrogenase (NADP+);dehydrogenase
K00262;C00014;ATSDR;Nitrogen-containing;Ammonia;E1.4.1.4;glutamate dehydrogenase (NADP+);dehydrogenase
K00263;C00014;PSL;Nitrogen-containing;Ammonia;E1.4.1.9;leucine dehydrogenase;dehydrogenase
K00263;C00014;ATSDR;Nitrogen-containing;Ammonia;E1.4.1.9;leucine dehydrogenase;dehydrogenase
K00264;C00014;PSL;Nitrogen-containing;Ammonia;GLT1;glutamate synthase (NADH);synthase
K00264;C00014;ATSDR;Nitrogen-containing;Ammonia;GLT1;glutamate synthase (NADH);synthase
K00265;C00014;PSL;Nitrogen-containing;Ammonia;gltB;glutamate synthase (NADPH) large chain;synthase
K00265;C00014;ATSDR;Nitrogen-containing;Ammonia;gltB;glutamate synthase (NADPH) large chain;synthase
K00266;C00014;PSL;Nitrogen-containing;Ammonia;gltD;glutamate synthase (NADPH) small chain;synthase
K00266;C00014;ATSDR;Nitrogen-containing;Ammonia;gltD;glutamate synthase (NADPH) small chain;synthase
K00270;C00014;PSL;Nitrogen-containing;Ammonia;pdh;phenylalanine dehydrogenase;dehydrogenase
K00270;C00014;ATSDR;Nitrogen-containing;Ammonia;pdh;phenylalanine dehydrogenase;dehydrogenase
K00271;C00014;PSL;Nitrogen-containing;Ammonia;vdh;valine dehydrogenase (NAD+);dehydrogenase
K00271;C00014;ATSDR;Nitrogen-containing;Ammonia;vdh;valine dehydrogenase (NAD+);dehydrogenase
K00272;C00014;PSL;Nitrogen-containing;Ammonia;DDO;D-aspartate oxidase;oxidase
K00272;C00014;ATSDR;Nitrogen-containing;Ammonia;DDO;D-aspartate oxidase;oxidase
K00273;C00014;PSL;Nitrogen-containing;Ammonia;DAO;D-amino-acid oxidase;oxidase
K00273;C00014;ATSDR;Nitrogen-containing;Ammonia;DAO;D-amino-acid oxidase;oxidase
K00274;C00014;PSL;Nitrogen-containing;Ammonia;MAO;monoamine oxidase;oxidase
K00274;C00014;ATSDR;Nitrogen-containing;Ammonia;MAO;monoamine oxidase;oxidase
K00275;C00014;PSL;Nitrogen-containing;Ammonia;pdxH;pyridoxamine 5'-phosphate oxidase;oxidase
K00275;C00014;ATSDR;Nitrogen-containing;Ammonia;pdxH;pyridoxamine 5'-phosphate oxidase;oxidase
K00276;C00014;PSL;Nitrogen-containing;Ammonia;AOC3;primary-amine oxidase;oxidase
K00276;C00014;ATSDR;Nitrogen-containing;Ammonia;AOC3;primary-amine oxidase;oxidase
K00276;C00067;ATSDR;Aliphatic;Formaldehyde;AOC3;primary-amine oxidase;oxidase
K00276;C00067;PSL;Aliphatic;Formaldehyde;AOC3;primary-amine oxidase;oxidase
K00276;C00067;IARC1;Aliphatic;Formaldehyde;AOC3;primary-amine oxidase;oxidase
K00277;C00014;PSL;Nitrogen-containing;Ammonia;LOX;protein-lysine 6-oxidase;oxidase
K00277;C00014;ATSDR;Nitrogen-containing;Ammonia;LOX;protein-lysine 6-oxidase;oxidase
K00278;C00014;ATSDR;Nitrogen-containing;Ammonia;nadB;L-aspartate oxidase;oxidase
K00278;C00014;PSL;Nitrogen-containing;Ammonia;nadB;L-aspartate oxidase;oxidase
K00281;C00014;PSL;Nitrogen-containing;Ammonia;GLDC;glycine cleavage system P protein (glycine dehydrogenase);glycine cleavage system
K00281;C00014;ATSDR;Nitrogen-containing;Ammonia;GLDC;glycine cleavage system P protein (glycine dehydrogenase);glycine cleavage system
K00282;C00014;PSL;Nitrogen-containing;Ammonia;gcvPA;glycine cleavage system P protein (glycine dehydrogenase) subunit 1;glycine cleavage system
K00282;C00014;ATSDR;Nitrogen-containing;Ammonia;gcvPA;glycine cleavage system P protein (glycine dehydrogenase) subunit 1;glycine cleavage system
K00283;C00014;ATSDR;Nitrogen-containing;Ammonia;gcvPB;glycine cleavage system P protein (glycine dehydrogenase) subunit 2;glycine cleavage system
K00283;C00014;PSL;Nitrogen-containing;Ammonia;gcvPB;glycine cleavage system P protein (glycine dehydrogenase) subunit 2;glycine cleavage system
K00284;C00014;PSL;Nitrogen-containing;Ammonia;GLU;glutamate synthase (ferredoxin);synthase
K00284;C00014;ATSDR;Nitrogen-containing;Ammonia;GLU;glutamate synthase (ferredoxin);synthase
K00285;C00014;PSL;Nitrogen-containing;Ammonia;dadA;D-amino-acid dehydrogenase;dehydrogenase
K00285;C00014;ATSDR;Nitrogen-containing;Ammonia;dadA;D-amino-acid dehydrogenase;dehydrogenase
K00299;C00067;ATSDR;Aliphatic;Formaldehyde;ssuE;FMN reductase;reductase
K00299;C00067;PSL;Aliphatic;Formaldehyde;ssuE;FMN reductase;reductase
K00299;C00067;IARC1;Aliphatic;Formaldehyde;ssuE;FMN reductase;reductase
K00301;C00067;PSL;Aliphatic;Formaldehyde;E1.5.3.1;sarcosine oxidase;oxidase
K00301;C00067;IARC1;Aliphatic;Formaldehyde;E1.5.3.1;sarcosine oxidase;oxidase
K00301;C00067;ATSDR;Aliphatic;Formaldehyde;E1.5.3.1;sarcosine oxidase;oxidase
K00302;C00067;ATSDR;Aliphatic;Formaldehyde;soxA;sarcosine oxidase, subunit alpha;oxidase
K00302;C00067;PSL;Aliphatic;Formaldehyde;soxA;sarcosine oxidase, subunit alpha;oxidase
K00302;C00067;IARC1;Aliphatic;Formaldehyde;soxA;sarcosine oxidase, subunit alpha;oxidase
K00303;C00067;ATSDR;Aliphatic;Formaldehyde;soxB;sarcosine oxidase, subunit beta;oxidase
K00303;C00067;PSL;Aliphatic;Formaldehyde;soxB;sarcosine oxidase, subunit beta;oxidase
K00303;C00067;IARC1;Aliphatic;Formaldehyde;soxB;sarcosine oxidase, subunit beta;oxidase
K00304;C00067;ATSDR;Aliphatic;Formaldehyde;soxD;sarcosine oxidase, subunit delta;oxidase
K00304;C00067;PSL;Aliphatic;Formaldehyde;soxD;sarcosine oxidase, subunit delta;oxidase
K00304;C00067;IARC1;Aliphatic;Formaldehyde;soxD;sarcosine oxidase, subunit delta;oxidase
K00305;C00067;ATSDR;Aliphatic;Formaldehyde;soxG;sarcosine oxidase, subunit gamma;oxidase
K00305;C00067;PSL;Aliphatic;Formaldehyde;soxG;sarcosine oxidase, subunit gamma;oxidase
K00305;C00067;IARC1;Aliphatic;Formaldehyde;soxG;sarcosine oxidase, subunit gamma;oxidase
K00306;C00067;ATSDR;Aliphatic;Formaldehyde;PIPOX;sarcosine oxidase / L-pipecolate oxidase;oxidase
K00306;C00067;PSL;Aliphatic;Formaldehyde;PIPOX;sarcosine oxidase / L-pipecolate oxidase;oxidase
K00306;C00067;IARC1;Aliphatic;Formaldehyde;PIPOX;sarcosine oxidase / L-pipecolate oxidase;oxidase
K00317;C00067;ATSDR;Aliphatic;Formaldehyde;dmd-tmd;dimethylamine/trimethylamine dehydrogenase;dehydrogenase
K00317;C00067;PSL;Aliphatic;Formaldehyde;dmd-tmd;dimethylamine/trimethylamine dehydrogenase;dehydrogenase
K00317;C00067;IARC1;Aliphatic;Formaldehyde;dmd-tmd;dimethylamine/trimethylamine dehydrogenase;dehydrogenase
K00360;C00088;ATSDR;Nitrogen-containing;Nitrite;nasB;assimilatory nitrate reductase electron transfer subunit;reductase
K00360;C00088;ATSDR;Inorganic;Nitrite;nasB;assimilatory nitrate reductase electron transfer subunit;reductase
K00360;C00244;ATSDR;Nitrogen-containing;Nitrate;nasB;assimilatory nitrate reductase electron transfer subunit;reductase
K00360;C00244;ATSDR;Inorganic;Nitrate;nasB;assimilatory nitrate reductase electron transfer subunit;reductase
K00361;C00014;PSL;Nitrogen-containing;Ammonia;nasB;nitrite reductase [NAD(P)H];reductase
K00361;C00014;ATSDR;Nitrogen-containing;Ammonia;nasB;nitrite reductase [NAD(P)H];reductase
K00361;C00088;ATSDR;Nitrogen-containing;Nitrite;nasB;nitrite reductase [NAD(P)H];reductase
K00361;C00088;ATSDR;Inorganic;Nitrite;nasB;nitrite reductase [NAD(P)H];reductase
K00362;C00014;PSL;Nitrogen-containing;Ammonia;nirB;nitrite reductase (NADH) large subunit;reductase
